* Measurement data measured by REW V5.20.13
* Source: EXCL: Microfoon (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0,540
* Format: 1M Log Swept Sine, 1 sweep at -9,0 dBFS with no timing reference
* Dated: 18-mrt-2023 16:54:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 1.9m hoogte 4,9ms window; 
* Measurement: hor 170
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 62.797 -31.9359
20.507813 62.744 -32.5259
20.874023 62.695 -33.1165
21.240234 62.649 -33.7075
21.606445 62.606 -34.2990
21.972656 62.567 -34.8910
22.338867 62.530 -35.4836
22.705078 62.496 -36.0767
23.071289 62.464 -36.6703
23.437500 62.434 -37.2644
23.803711 62.406 -37.8590
24.169922 62.381 -38.4543
24.536133 62.356 -39.0501
24.902344 62.334 -39.6464
25.268555 62.313 -40.2433
25.634766 62.293 -40.8408
26.000977 62.275 -41.4389
26.367188 62.258 -42.0376
26.733399 62.242 -42.6368
27.099610 62.226 -43.2366
27.465821 62.212 -43.8371
27.832032 62.199 -44.4382
28.198243 62.186 -45.0398
28.564454 62.174 -45.6421
28.930665 62.163 -46.2450
29.296876 62.153 -46.8485
29.663087 62.142 -47.4527
30.029298 62.133 -48.0575
30.395509 62.123 -48.6629
30.761720 62.115 -49.2690
31.127931 62.106 -49.8757
31.494142 62.098 -50.4831
31.860353 62.090 -51.0912
32.226563 62.083 -51.6998
32.592774 62.075 -52.3092
32.958985 62.068 -52.9192
33.325196 62.061 -53.5299
33.691407 62.054 -54.1412
34.057618 62.047 -54.7533
34.423829 62.041 -55.3660
34.790040 62.034 -55.9793
35.156251 62.027 -56.5934
35.522462 62.020 -57.2081
35.888673 62.014 -57.8235
36.254884 62.007 -58.4396
36.621095 62.001 -59.0564
36.987306 61.994 -59.6739
37.353517 61.988 -60.2921
37.719728 61.982 -60.9109
38.085939 61.976 -61.5305
38.452150 61.970 -62.1507
38.818361 61.965 -62.7716
39.184572 61.959 -63.3932
39.550783 61.953 -64.0155
39.916994 61.947 -64.6385
40.283205 61.941 -65.2622
40.649416 61.935 -65.8866
41.015627 61.928 -66.5116
41.381838 61.922 -67.1374
41.748049 61.915 -67.7638
42.114260 61.909 -68.3909
42.480471 61.902 -69.0187
42.846682 61.895 -69.6472
43.212893 61.888 -70.2763
43.579103 61.882 -70.9062
43.945314 61.875 -71.5367
44.311525 61.869 -72.1678
44.677736 61.862 -72.7997
45.043947 61.857 -73.4322
45.410158 61.851 -74.0653
45.776369 61.846 -74.6991
46.142580 61.841 -75.3336
46.508791 61.836 -75.9687
46.875002 61.832 -76.6045
47.241213 61.828 -77.2409
47.607424 61.824 -77.8779
47.973635 61.821 -78.5156
48.339846 61.818 -79.1539
48.706057 61.815 -79.7928
49.072268 61.813 -80.4323
49.438479 61.811 -81.0724
49.804690 61.809 -81.7132
50.170901 61.808 -82.3545
50.537112 61.807 -82.9964
50.903323 61.806 -83.6389
51.269534 61.805 -84.2820
51.635745 61.804 -84.9256
52.001956 61.804 -85.5698
52.368167 61.803 -86.2146
52.734378 61.803 -86.8599
53.100589 61.803 -87.5057
53.466800 61.803 -88.1521
53.833011 61.803 -88.7990
54.199222 61.803 -89.4464
54.565432 61.802 -90.0943
54.931643 61.802 -90.7427
55.297854 61.802 -91.3916
55.664065 61.801 -92.0410
56.030276 61.800 -92.6908
56.396487 61.799 -93.3411
56.762698 61.798 -93.9919
57.128909 61.796 -94.6431
57.495120 61.795 -95.2947
57.861331 61.793 -95.9467
58.227542 61.792 -96.5991
58.593753 61.790 -97.2520
58.959964 61.788 -97.9052
59.326175 61.786 -98.5588
59.692386 61.784 -99.2128
60.058597 61.782 -99.8671
60.424808 61.780 -100.5218
60.791019 61.778 -101.1768
61.157230 61.776 -101.8320
61.523441 61.774 -102.4877
61.889652 61.773 -103.1436
62.255863 61.771 -103.7998
62.622074 61.769 -104.4562
62.988285 61.768 -105.1130
63.354496 61.766 -105.7699
63.720707 61.765 -106.4271
64.086918 61.764 -107.0845
64.453129 61.763 -107.7422
64.819340 61.762 -108.4000
65.185551 61.761 -109.0580
65.551762 61.761 -109.7162
65.917972 61.760 -110.3746
66.284183 61.760 -111.0331
66.650394 61.761 -111.6917
67.016605 61.761 -112.3504
67.382816 61.762 -113.0093
67.749027 61.763 -113.6682
68.115238 61.764 -114.3272
68.481449 61.766 -114.9863
68.847660 61.768 -115.6455
69.213871 61.770 -116.3046
69.580082 61.772 -116.9639
69.946293 61.775 -117.6231
70.312504 61.778 -118.2823
70.678715 61.782 -118.9415
71.044926 61.785 -119.6007
71.411137 61.789 -120.2598
71.777348 61.794 -120.9189
72.143559 61.798 -121.5779
72.509770 61.803 -122.2369
72.875981 61.808 -122.8957
73.242192 61.813 -123.5545
73.608403 61.818 -124.2131
73.974614 61.823 -124.8716
74.340825 61.829 -125.5299
74.707036 61.835 -126.1881
75.073247 61.841 -126.8462
75.439458 61.847 -127.5040
75.805669 61.853 -128.1617
76.171880 61.859 -128.8191
76.538091 61.866 -129.4763
76.904301 61.872 -130.1333
77.270512 61.879 -130.7901
77.636723 61.886 -131.4466
78.002934 61.893 -132.1028
78.369145 61.900 -132.7588
78.735356 61.907 -133.4144
79.101567 61.914 -134.0698
79.467778 61.922 -134.7248
79.833989 61.929 -135.3795
80.200200 61.937 -136.0339
80.566411 61.944 -136.6879
80.932622 61.952 -137.3416
81.298833 61.960 -137.9949
81.665044 61.968 -138.6478
82.031255 61.976 -139.3004
82.397466 61.984 -139.9525
82.763677 61.992 -140.6042
83.129888 62.000 -141.2555
83.496099 62.009 -141.9064
83.862310 62.017 -142.5569
84.228521 62.026 -143.2068
84.594732 62.034 -143.8564
84.960943 62.043 -144.5054
85.327154 62.051 -145.1540
85.693365 62.060 -145.8021
86.059576 62.069 -146.4497
86.425787 62.078 -147.0968
86.791998 62.087 -147.7435
87.158209 62.096 -148.3896
87.524420 62.105 -149.0351
87.890631 62.114 -149.6802
88.256841 62.124 -150.3247
88.623052 62.133 -150.9686
88.989263 62.143 -151.6120
89.355474 62.152 -152.2549
89.721685 62.162 -152.8972
90.087896 62.172 -153.5389
90.454107 62.182 -154.1800
90.820318 62.192 -154.8206
91.186529 62.203 -155.4606
91.552740 62.213 -156.1000
91.918951 62.224 -156.7388
92.285162 62.234 -157.3769
92.651373 62.245 -158.0145
93.017584 62.256 -158.6516
93.383795 62.267 -159.2879
93.750006 62.279 -159.9236
94.116217 62.290 -160.5587
94.482428 62.301 -161.1932
94.848639 62.313 -161.8271
95.214850 62.325 -162.4604
95.581061 62.336 -163.0930
95.947272 62.348 -163.7250
96.313483 62.360 -164.3563
96.679694 62.372 -164.9870
97.045905 62.385 -165.6171
97.412116 62.397 -166.2465
97.778327 62.409 -166.8752
98.144538 62.421 -167.5034
98.510749 62.434 -168.1309
98.876960 62.446 -168.7577
99.243170 62.458 -169.3839
99.609381 62.471 -170.0095
99.975592 62.483 -170.6344
100.341803 62.496 -171.2586
100.708014 62.508 -171.8822
101.074225 62.521 -172.5052
101.440436 62.534 -173.1275
101.806647 62.546 -173.7492
102.172858 62.559 -174.3702
102.539069 62.572 -174.9906
102.905280 62.584 -175.6104
103.271491 62.597 -176.2295
103.637702 62.609 -176.8480
104.003913 62.622 -177.4658
104.370124 62.635 -178.0830
104.736335 62.647 -178.6996
105.102546 62.660 -179.3156
105.468757 62.672 -179.9310
105.834968 62.685 179.4543
106.201179 62.697 178.8402
106.567390 62.710 178.2267
106.933601 62.722 177.6138
107.299812 62.735 177.0016
107.666023 62.747 176.3899
108.032234 62.759 175.7788
108.398445 62.772 175.1683
108.764656 62.784 174.5584
109.130867 62.796 173.9491
109.497078 62.808 173.3403
109.863289 62.821 172.7321
110.229500 62.833 172.1245
110.595710 62.845 171.5175
110.961921 62.857 170.9110
111.328132 62.868 170.3050
111.694343 62.880 169.6996
112.060554 62.892 169.0947
112.426765 62.904 168.4904
112.792976 62.915 167.8866
113.159187 62.927 167.2834
113.525398 62.938 166.6805
113.891609 62.949 166.0783
114.257820 62.961 165.4765
114.624031 62.972 164.8752
114.990242 62.983 164.2744
115.356453 62.994 163.6741
115.722664 63.005 163.0742
116.088875 63.016 162.4749
116.455086 63.027 161.8759
116.821297 63.037 161.2774
117.187508 63.048 160.6793
117.553719 63.058 160.0817
117.919930 63.069 159.4845
118.286141 63.079 158.8877
118.652352 63.089 158.2913
119.018563 63.100 157.6953
119.384774 63.110 157.0996
119.750985 63.120 156.5045
120.117196 63.130 155.9095
120.483407 63.139 155.3151
120.849618 63.149 154.7209
121.215829 63.159 154.1271
121.582040 63.168 153.5336
121.948250 63.178 152.9404
122.314461 63.187 152.3475
122.680672 63.197 151.7550
123.046883 63.206 151.1627
123.413094 63.215 150.5707
123.779305 63.224 149.9791
124.145516 63.233 149.3876
124.511727 63.242 148.7964
124.877938 63.251 148.2054
125.244149 63.260 147.6147
125.610360 63.268 147.0242
125.976571 63.277 146.4339
126.342782 63.285 145.8438
126.708993 63.294 145.2539
127.075204 63.302 144.6642
127.441415 63.310 144.0746
127.807626 63.318 143.4852
128.173837 63.326 142.8959
128.540048 63.334 142.3068
128.906259 63.342 141.7178
129.272470 63.349 141.1289
129.638681 63.357 140.5401
130.004892 63.364 139.9514
130.371103 63.372 139.3627
130.737314 63.379 138.7742
131.103525 63.386 138.1857
131.469736 63.393 137.5972
131.835947 63.400 137.0088
132.202158 63.407 136.4203
132.568369 63.414 135.8319
132.934579 63.420 135.2435
133.300790 63.427 134.6550
133.667001 63.433 134.0665
134.033212 63.440 133.4780
134.399423 63.446 132.8894
134.765634 63.452 132.3008
135.131845 63.458 131.7120
135.498056 63.464 131.1232
135.864267 63.470 130.5342
136.230478 63.476 129.9452
136.596689 63.482 129.3560
136.962900 63.487 128.7667
137.329111 63.493 128.1772
137.695322 63.498 127.5875
138.061533 63.504 126.9977
138.427744 63.509 126.4076
138.793955 63.514 125.8174
139.160166 63.519 125.2269
139.526377 63.524 124.6362
139.892588 63.529 124.0452
140.258799 63.533 123.4540
140.625010 63.538 122.8625
140.991221 63.543 122.2708
141.357432 63.547 121.6786
141.723643 63.551 121.0862
142.089854 63.556 120.4935
142.456065 63.560 119.9005
142.822276 63.564 119.3069
143.188487 63.568 118.7132
143.554698 63.572 118.1190
143.920909 63.576 117.5245
144.287119 63.579 116.9294
144.653330 63.583 116.3340
145.019541 63.586 115.7382
145.385752 63.590 115.1419
145.751963 63.593 114.5451
146.118174 63.596 113.9479
146.484385 63.600 113.3502
146.850596 63.603 112.7519
147.216807 63.606 112.1531
147.583018 63.609 111.5538
147.949229 63.611 110.9540
148.315440 63.614 110.3536
148.681651 63.617 109.7526
149.047862 63.619 109.1510
149.414073 63.622 108.5488
149.780284 63.624 107.9460
150.146495 63.626 107.3426
150.512706 63.629 106.7385
150.878917 63.631 106.1338
151.245128 63.633 105.5284
151.611339 63.635 104.9223
151.977550 63.637 104.3155
152.343761 63.638 103.7079
152.709972 63.640 103.0997
153.076183 63.642 102.4908
153.442394 63.643 101.8810
153.808605 63.645 101.2705
154.174816 63.646 100.6592
154.541027 63.648 100.0471
154.907238 63.649 99.4342
155.273448 63.650 98.8204
155.639659 63.651 98.2058
156.005870 63.652 97.5904
156.372081 63.653 96.9741
156.738292 63.654 96.3569
157.104503 63.655 95.7388
157.470714 63.656 95.1198
157.836925 63.657 94.4999
158.203136 63.658 93.8791
158.569347 63.658 93.2573
158.935558 63.659 92.6345
159.301769 63.660 92.0108
159.667980 63.660 91.3861
160.034191 63.661 90.7604
160.400402 63.661 90.1336
160.766613 63.662 89.5059
161.132824 63.662 88.8770
161.499035 63.662 88.2473
161.865246 63.663 87.6163
162.231457 63.663 86.9843
162.597668 63.663 86.3512
162.963879 63.664 85.7171
163.330090 63.664 85.0818
163.696301 63.664 84.4453
164.062512 63.664 83.8077
164.428723 63.664 83.1691
164.794934 63.664 82.5291
165.161145 63.665 81.8881
165.527356 63.665 81.2459
165.893567 63.665 80.6025
166.259778 63.665 79.9578
